algo,time,roughMemoryEstimate,answerDepth,answerCost,startState,processedNodes,nodeInstancesCreated
BFS,0.003,4,2,3,BA#,3,3
DFS,0.01,3,2,3,BA#,3,3
Uniform,0.012,4,2,3,BA#,3,3
IterativeDeepening,0.013,3,2,3,BA#,3,4
BFS,0.0,14,3,6,CBA##,6,19
DFS,0.001,13,3,6,CBA##,13,29
Uniform,0.002,18,3,6,CBA##,9,25
IterativeDeepening,0.005,6,3,6,CBA##,6,12
BFS,0.0,64,4,8,DCBA###,19,105
DFS,0.001,43,10,18,DCBA###,11,47
Uniform,0.003,81,4,8,DCBA###,28,144
IterativeDeepening,0.004,13,4,8,DCBA###,18,42
BFS,0.002,273,5,12,EDCBA####,59,450
DFS,0.003,100,15,28,EDCBA####,16,95
Uniform,0.01,542,5,12,EDCBA####,279,1693
IterativeDeepening,0.013,16,5,12,EDCBA####,22,132
BFS,0.014,1670,6,15,FEDCBA#####,314,3100
DFS,0.062,3975,563,1011,FEDCBA#####,1373,6745
Uniform,0.128,4146,6,15,FEDCBA#####,1955,15209
IterativeDeepening,0.133,28,6,15,FEDCBA#####,125,813
BFS,0.24,10902,7,20,GFEDCBA######,1767,21833
DFS,0.68,41761,6929,13208,GFEDCBA######,12171,68508
Uniform,1.71,38440,7,20,GFEDCBA######,23435,194935
IterativeDeepening,1.744,30,7,20,GFEDCBA######,132,5770
BFS,1.269,83291,8,24,HGFEDCBA#######,12248,181143
DFS,3.818,296997,43466,84624,HGFEDCBA#######,46763,347947
Uniform,18.8,400442,8,24,HGFEDCBA#######,247977,2374455
IterativeDeepening,19.338,49,8,24,HGFEDCBA#######,1157,58226
BFS,11.588,690645,9,30,IHGFEDCBA########,92411,1603160
DFS,106.422,6305843,903802,1929155,IHGFEDCBA########,1970131,12654733
Uniform,377.638,4615001,9,30,IHGFEDCBA########,3174250,32902949
IterativeDeepening,385.087,51,9,30,IHGFEDCBA########,1174,687674
