algo,time,roughMemoryEstimate,answerDepth,answerCost,startState,processedNodes,nodeInstancesCreated
BFS,42.536,1181513,7,18,BE#DC#GF#A###,707366,7369736
DFS,44.507,34179,5545,10520,BE#DC#GF#A###,7407,46494
Uniform,52.297,41416,7,18,BE#DC#GF#A###,31527,226643
IterativeDeepening,214.658,46583,7,18,BE#DC#GF#A###,14451152,27070100
BFS,156.939,674778,10,27,ACB#DFG#E####,3776666,26367695
DFS,157.217,42317,7051,13467,ACB#DFG#E####,12503,69942
Uniform,158.173,37825,10,28,ACB#DFG#E####,37442,234882
BFS,100.282,554973,9,27,GAB#CF#D#E###,2749496,19799597
DFS,100.875,44216,6723,12845,GAB#CF#D#E###,14998,80125
Uniform,102.719,38134,9,26,GAB#CF#D#E###,37133,234573
